Date : 2020-01-10 19:35:10
Directory : /Users/eystein/Documents/Programmering/lagerstatus/src
Total : 183 files,  14633 codes, 242 comments, 1848 blanks, all 16723 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/hooks/useLoans.ts                             | TypeScript       |         94 |          0 |         11 |        105 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/hooks/useOrders.ts                            | TypeScript       |         96 |          0 |         13 |        109 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/hooks/useSales.ts                             | TypeScript       |         69 |          0 |         12 |         81 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/middleware/changeLog.ts                       | TypeScript       |         29 |          0 |          4 |         33 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/middleware/firestore.ts                       | TypeScript       |        116 |          3 |         14 |        133 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/middleware/localStorage.ts                    | TypeScript       |         52 |          0 |          9 |         61 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/middleware/thunks.ts                          | TypeScript       |        120 |          6 |         13 |        139 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/middleware/types.ts                           | TypeScript       |         10 |          6 |          7 |         23 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/adminReducers.ts                     | TypeScript       |          1 |          0 |          0 |          1 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/authReducers.ts                      | TypeScript       |        109 |          0 |         17 |        126 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/categoriesReducers.ts                | TypeScript       |         34 |          1 |         10 |         45 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/customersReducers.ts                 | TypeScript       |         44 |          1 |         12 |         57 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/drafts.ts                            | TypeScript       |         81 |          0 |         10 |         91 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/index.ts                             | TypeScript       |         37 |          0 |          5 |         42 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/loansReducers.ts                     | TypeScript       |        117 |          0 |         19 |        136 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/notificationReducers.ts              | TypeScript       |         25 |          0 |          4 |         29 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/ordersReducers.ts                    | TypeScript       |        117 |          1 |         21 |        139 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/productsReducers.ts                  | TypeScript       |         61 |          1 |         17 |         79 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/reportsReducers.ts                   | TypeScript       |         88 |          0 |         16 |        104 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/salesReducers.ts                     | TypeScript       |        121 |          5 |         20 |        146 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/reducers/suppliersReducers.ts                 | TypeScript       |         44 |          1 |         11 |         56 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/selectors/customersSelectors.ts               | TypeScript       |          7 |          0 |          3 |         10 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/selectors/loansSelectors.ts                   | TypeScript       |          7 |          0 |          3 |         10 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/selectors/productSelectors.ts                 | TypeScript       |         18 |          2 |          4 |         24 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/selectors/suppliersSelectors.ts               | TypeScript       |          7 |          0 |          3 |         10 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/store.ts                                      | TypeScript       |          8 |          0 |          2 |         10 |
